,title,view_count,like_count,duration,title_length,giveaway
108,"Anything You Can Carry, I'll Pay For #2",60334567,1416078,839.0,39,0
109,"I Gave My Brother 24 Hours To Spend $100,000",74655262,2126511,788.0,44,1
110,I Opened A Free Car Dealership,113482463,3175930,999.0,30,0
111,"Last To Leave Pool Of $20,000 Keeps It",142164434,2868681,999.0,38,1
112,Surviving 24 Hours On A Deserted Island,145531615,2933825,832.0,39,0
113,"Last To Leave Roller Coaster Wins $20,000 - Challenge",118314643,2595419,917.0,53,1
114,I Won Every Prize At A Theme Park,136068755,2654043,802.0,33,0
115,Destroying My Friend's Car And Surprising Him With A New One,92335245,2511111,893.0,60,0
116,I Spent 24 Hours Straight At Area 51,121623788,3091871,923.0,36,0
117,"Can 50,000 Magnets Catch A Cannon Ball?",78767715,1693667,569.0,39,0
118,World's Largest Game Of Dodgeball,67036481,1457573,677.0,33,0
119,"Last To Leave Revolving Door Wins $50,000",127905356,3146258,824.0,41,1
120,Tipping Waitresses With Real Gold Bars,63374637,1655274,812.0,38,0
121,I Opened The World's First FREE Store,73546303,2084875,891.0,37,0
122,Spending 24 Hours On Top Of A Mountain,145566774,3026466,924.0,38,0
123,"Last To Leave VR Wins $20,000",116428893,2653174,858.0,29,1
124,"Last To Stop Running Wins $20,000",94952144,2027582,898.0,33,1
125,"Paying People $10,000 To Eat Ghost Pepper",39225048,1109145,886.0,41,1
126,24 Hours In The Most Haunted Place On Earth,85980958,2333998,907.0,43,0
127,I Bought Everything In A Store - Challenge,125824521,3857710,1016.0,42,0
128,World's Largest Bowl Of Cereal,122199717,2229145,942.0,30,0
129,Spending 24 Hours In A City With No Laws,125357456,2365485,869.0,40,0
130,"Giving $10,000 To Random People And Saying Nothing",64615798,1560050,959.0,50,1
131,Molten Lava Vs Giant Ice Block Experiment,81052256,1649684,458.0,41,0
132,"Anything You Can Carry, I'll Pay For Challenge",81064236,1658684,909.0,46,0
133,Homeless Man Buys A Lamborghini,122586751,3299202,860.0,31,0
134,Playing Battleship With Real Ships,35371783,976685,932.0,34,0
135,"Donating $100,000 To Shroud In Real Life",31623373,876615,854.0,40,1
136,"Last To Leave The Tesla, Keeps It Challenge",89750304,1680238,1109.0,43,0
137,"Donating $100,000 To Streamers With 0 Viewers",74593791,2760394,877.0,45,1
138,Surviving 24 Hours Straight In A Desert,109782758,2350264,844.0,39,0
139,"$200,000 Youtuber Battle Royale",47187635,1643303,816.0,31,1
140,Surprising Strangers With 100 Zombies - Experiment,57663831,1740360,721.0,50,0
141,I Gave A Homeless Man A Home,72210189,2073374,802.0,28,0
142,Standing Still For 24 Hours Straight - Statue Challenge,77327583,1582740,1096.0,55,0
143,Giant Monopoly Game With Real Money,85778319,1962906,943.0,35,0
144,I Spent 24 Hours Straight In Insane Asylum,104120506,2108386,956.0,42,0
145,I Advertised Pewdiepie At The Super Bowl,42108587,1255559,765.0,40,0
146,I Went Back To 1st Grade For A Day,150197722,2750098,1066.0,34,0
147,I Opened The World’s Cheapest Store,40690941,1145182,919.0,35,0
148,I Put 10 Million Legos in Friend's House,67010000,1267142,917.0,40,0
149,Make This Video The Most Liked Video On Youtube,120074967,24369082,791.0,47,0
150,"20,000 Magnets Vs A Car",32135736,757608,723.0,23,0
151,"Eating A $10,000 Golden Steak (24k Gold)",115615788,1975472,990.0,40,1
152,Last To Take Hand Off House Keeps It!,69462477,1343109,1050.0,37,0
153,"I Gave Him One Hour To Spend $100,000!",69094674,1424575,830.0,38,1
154,"How I Gave Away $1,000,000",14286075,491711,914.0,26,1
155,"Giving $100,000 To A Homeless Person",30770307,1022865,884.0,36,1
156,I Spent 24 Hours Straight In Prison - Challenge,98038882,1881282,892.0,47,0
157,Donating $10000 To Pewdiepie,46164241,1727839,915.0,28,1
158,"Last Youtuber To Leave Wins $100,000 - Challenge",82320791,1972896,1479.0,48,1
159,I Put Millions Of Pennies In My Friends Backyard,111449756,2109652,881.0,48,0
160,Surprising TFue With A Fortnite Battle Bus In Real Life,97857043,1853751,865.0,55,0
